merchant_id,category,city,years_active,credit_tier,monthly_revenue,revenue_growth_rate,revenue_consistency,refund_rate,chargeback_rate,settlement_velocity_days,customer_repeat_rate,payment_diversity_score,peak_season_ratio,failed_payment_rate,avg_transaction_value,transaction_volume_monthly,dispute_resolution_rate,late_settlement_frequency,revenue_concentration_risk,credit_score,score_trajectory,projected_score_3months,recommendation_eligible,recommendation_max_amount,recommendation_interest_rate,recommendation_tenure_months,recommendation_tier
MID_0001,Freelancer,Delhi,0.7,good,158924.44,0.1157,0.8283,0.0746,0.0059,1.8438,0.306,0.5937,1.3527,0.0519,997.0941,554.9191,0.7981,0.0576,0.3179,758,"[703, 701, 692, 716, 714, 758]",774,True,1000000,15.0,18.0,Standard
MID_0002,Pharmacy,Pune,5.0,poor,43012.87,-0.0303,0.5738,0.1692,0.0366,5.4882,0.1542,0.3896,1.0443,0.2786,132.0771,38.9293,0.4166,0.2144,0.5512,620,"[561, 561, 555, 550, 573, 620]",640,True,400000,18.5,12.0,Basic
MID_0003,EdTech,Hyderabad,1.7,good,390023.9,0.1032,0.8091,0.0642,0.0134,2.552,0.3458,0.5564,1.2577,0.0687,1027.4571,760.0368,0.8577,0.0652,0.3311,777,"[725, 720, 727, 723, 731, 777]",812,True,1000000,15.0,18.0,Standard
MID_0004,Pharmacy,Hyderabad,8.0,excellent,499769.73,0.2012,0.9619,0.0146,0.0021,1.6805,0.5991,0.7962,1.7171,0.0387,1855.9393,1195.8066,0.9725,0.0372,0.1172,851,"[783, 780, 772, 757, 771, 851]",893,True,2000000,12.5,24.0,Premium
MID_0005,Healthcare,Bangalore,4.3,excellent,533248.25,0.2183,0.916,0.016,0.0036,1.1615,0.6884,0.9306,1.9429,0.044,2852.144,401.3619,0.8972,0.0494,0.221,839,"[773, 787, 805, 829, 835, 839]",879,True,2000000,12.5,24.0,Premium
MID_0006,EdTech,Bangalore,2.5,poor,28660.07,-0.0725,0.474,0.2149,0.026,3.9351,0.1994,0.343,1.0095,0.2525,184.7029,38.5932,0.4278,0.3059,0.5506,613,"[549, 571, 590, 578, 572, 613]",636,True,400000,18.5,12.0,Basic
MID_0007,EdTech,Bangalore,5.9,poor,35589.67,-0.0684,0.4588,0.1729,0.0228,4.9769,0.1225,0.2904,1.116,0.1876,557.4188,82.8489,0.3639,0.3311,0.6761,605,"[543, 536, 539, 559, 547, 605]",650,True,400000,18.5,12.0,Basic
MID_0008,Retail,Mumbai,5.4,average,32942.68,-0.0107,0.7007,0.0789,0.0161,2.9627,0.327,0.5785,1.0494,0.1002,707.5483,280.8947,0.6835,0.1342,0.4893,730,"[675, 667, 661, 648, 663, 730]",760,True,1000000,15.0,18.0,Standard
MID_0009,Restaurant,Mumbai,4.9,average,132808.75,-0.0043,0.7422,0.0664,0.0128,3.1901,0.2948,0.4317,1.036,0.189,520.08,194.575,0.6553,0.1503,0.4667,725,"[706, 701, 702, 714, 711, 725]",739,True,1000000,15.0,18.0,Standard
MID_0010,Restaurant,Ahmedabad,5.2,average,42364.66,0.0338,0.6512,0.0706,0.0152,2.1376,0.2215,0.4427,1.1315,0.1543,593.2723,295.8019,0.6872,0.1635,0.4836,723,"[717, 712, 733, 748, 739, 723]",746,True,1000000,15.0,18.0,Standard
