monthly_revenue,revenue_growth_rate,revenue_consistency,refund_rate,chargeback_rate,settlement_velocity_days,customer_repeat_rate,payment_diversity_score,peak_season_ratio,failed_payment_rate,avg_transaction_value,transaction_volume_monthly,dispute_resolution_rate,late_settlement_frequency,revenue_concentration_risk,years_active,credit_score,credit_tier
158924.44,0.1157,0.8283,0.0746,0.0059,1.8438,0.306,0.5937,1.3527,0.0519,997.0941,554.9191,0.7981,0.0576,0.3179,0.7,758,good
43012.87,-0.0303,0.5738,0.1692,0.0366,5.4882,0.1542,0.3896,1.0443,0.2786,132.0771,38.9293,0.4166,0.2144,0.5512,5.0,620,poor
390023.9,0.1032,0.8091,0.0642,0.0134,2.552,0.3458,0.5564,1.2577,0.0687,1027.4571,760.0368,0.8577,0.0652,0.3311,1.7,777,good
499769.73,0.2012,0.9619,0.0146,0.0021,1.6805,0.5991,0.7962,1.7171,0.0387,1855.9393,1195.8066,0.9725,0.0372,0.1172,8.0,851,excellent
533248.25,0.2183,0.916,0.016,0.0036,1.1615,0.6884,0.9306,1.9429,0.044,2852.144,401.3619,0.8972,0.0494,0.221,4.3,839,excellent
28660.07,-0.0725,0.474,0.2149,0.026,3.9351,0.1994,0.343,1.0095,0.2525,184.7029,38.5932,0.4278,0.3059,0.5506,2.5,613,poor
35589.67,-0.0684,0.4588,0.1729,0.0228,4.9769,0.1225,0.2904,1.116,0.1876,557.4188,82.8489,0.3639,0.3311,0.6761,5.9,605,poor
32942.68,-0.0107,0.7007,0.0789,0.0161,2.9627,0.327,0.5785,1.0494,0.1002,707.5483,280.8947,0.6835,0.1342,0.4893,5.4,730,average
132808.75,-0.0043,0.7422,0.0664,0.0128,3.1901,0.2948,0.4317,1.036,0.189,520.08,194.575,0.6553,0.1503,0.4667,4.9,725,average
42364.66,0.0338,0.6512,0.0706,0.0152,2.1376,0.2215,0.4427,1.1315,0.1543,593.2723,295.8019,0.6872,0.1635,0.4836,5.2,723,average
57486.37,0.0289,0.7311,0.1277,0.0114,2.8472,0.227,0.3808,1.2313,0.1637,540.5418,232.72,0.6438,0.1513,0.3519,2.0,722,average
118353.24,0.1214,0.8615,0.0503,0.0112,1.3091,0.486,0.7229,1.5881,0.1068,2703.5405,117.3505,0.8326,0.0666,0.3862,2.1,801,good
21107.82,-0.0142,0.4416,0.1562,0.0221,5.32,0.1221,0.3121,1.0699,0.2981,331.8049,17.8981,0.5517,0.247,0.6277,6.7,613,poor
739886.55,0.1577,0.9435,0.0323,0.0057,1.3642,0.4675,0.8661,1.5311,0.0326,4361.6642,1495.5577,0.889,0.0224,0.1613,5.8,820,excellent
317382.68,0.0989,0.7716,0.0521,0.0118,2.0223,0.4587,0.742,1.468,0.0961,1209.466,564.6977,0.8115,0.0475,0.3904,2.8,770,good
312571.98,0.0207,0.8402,0.0685,0.0061,1.8503,0.3352,0.7416,1.359,0.0535,1122.9957,693.8354,0.7822,0.1041,0.3335,4.2,774,good
50969.03,-0.0639,0.5289,0.183,0.0272,4.3196,0.1656,0.2516,0.984,0.305,156.4044,30.8372,0.4381,0.2275,0.5471,3.9,620,poor
218542.98,0.1359,0.8537,0.0569,0.0123,2.5997,0.4796,0.6476,1.2365,0.084,1472.143,568.2115,0.8437,0.0979,0.3681,7.6,795,good
197869.72,0.119,0.7807,0.0676,0.0133,1.5045,0.3164,0.5539,1.3697,0.12,1374.9009,555.1009,0.8406,0.0921,0.3508,3.3,751,good
14737.88,0.0065,0.5719,0.1341,0.0208,3.9359,0.1613,0.4108,0.9992,0.2801,153.1975,87.5145,0.4943,0.2183,0.6699,5.1,656,poor
815496.74,0.1771,0.9577,0.0312,0.004,1.7338,0.6914,0.7675,1.8657,0.0415,2830.6895,984.0341,0.945,0.0207,0.2278,6.7,826,excellent
166898.22,0.0975,0.8608,0.0578,0.0102,1.3821,0.3483,0.6313,1.3776,0.0668,1690.2328,598.2897,0.7807,0.0414,0.2588,3.2,771,good
253788.34,0.0739,0.9197,0.0329,0.0023,1.2164,0.571,0.8811,1.9836,0.041,1988.5946,380.947,0.8752,0.0191,0.1269,2.4,828,excellent
53010.31,-0.0149,0.7382,0.0982,0.0223,2.8014,0.1926,0.5185,1.0161,0.1149,931.6915,118.9972,0.719,0.1142,0.5029,4.0,718,average
154322.1,0.1059,0.7451,0.0387,0.0058,1.0054,0.3901,0.6688,1.2456,0.0662,2267.3896,592.0913,0.7817,0.095,0.3848,7.6,779,good
132503.81,0.0721,0.6378,0.0975,0.0146,2.805,0.2263,0.4988,1.1313,0.1598,1356.2498,230.9788,0.6526,0.1031,0.3958,6.4,724,average
259372.59,0.1025,0.7987,0.0346,0.0085,1.6666,0.434,0.7215,1.2649,0.0986,1220.5445,761.6355,0.8464,0.084,0.291,7.4,779,good
87581.24,-0.0148,0.6034,0.0705,0.0143,3.7617,0.2624,0.3864,1.189,0.1799,1122.7177,120.795,0.5523,0.149,0.3949,5.2,677,average
289903.73,0.1699,0.947,0.0141,0.0015,1.7727,0.6636,0.785,1.8514,0.0307,810.7741,1506.8918,0.9589,0.0332,0.199,3.9,839,excellent
10312.3,-0.0032,0.5122,0.2255,0.0316,4.9911,0.1785,0.4158,1.0238,0.1852,451.6038,76.9689,0.55,0.3574,0.5969,2.3,634,poor
55826.53,-0.0506,0.4228,0.2134,0.0428,5.6171,0.0843,0.2151,1.0578,0.3089,798.1981,93.4105,0.4498,0.2177,0.6394,6.9,587,poor
145712.1,0.0992,0.7812,0.0642,0.01,2.1663,0.3464,0.6776,1.3298,0.0967,2747.2713,425.6773,0.7518,0.0837,0.2148,5.6,782,good
145599.47,0.0095,0.7456,0.1127,0.0141,3.1319,0.2966,0.5438,1.0147,0.1606,845.7455,275.0804,0.5987,0.1959,0.4714,4.8,716,average
129285.0,0.1383,0.7723,0.0508,0.007,2.573,0.4753,0.6232,1.3509,0.0691,911.3611,739.8343,0.87,0.1174,0.259,0.8,791,good
524616.8,0.141,0.9375,0.0302,0.0051,1.8224,0.6851,0.7271,1.4637,0.021,4513.7863,1210.5333,0.969,0.0189,0.1095,6.4,849,excellent
111537.19,0.0746,0.6338,0.1194,0.0123,2.8298,0.1968,0.4877,1.1224,0.1952,242.5312,136.3378,0.6254,0.2141,0.5211,3.9,705,average
30711.7,0.0587,0.5987,0.0701,0.0185,2.1372,0.3101,0.4256,1.0648,0.187,627.1274,78.3641,0.7031,0.1003,0.5217,5.3,699,average
457418.52,0.0727,0.8583,0.0234,0.0035,1.5937,0.563,0.7554,1.7306,0.0491,4616.7571,1386.0255,0.8892,0.0357,0.1047,2.5,824,excellent
68508.72,0.0795,0.6561,0.0963,0.0191,2.1984,0.2993,0.5676,1.1953,0.1769,1137.0919,95.906,0.6268,0.1274,0.4178,5.2,716,average
47904.17,-0.0277,0.4849,0.193,0.0299,3.3667,0.1224,0.3464,1.0876,0.3015,604.7425,116.6819,0.4881,0.2633,0.6271,1.2,632,poor
34455.85,0.0729,0.7159,0.0814,0.0127,3.4054,0.2325,0.4548,1.0018,0.187,936.2174,144.2039,0.5741,0.176,0.3561,5.1,702,average
188565.32,0.1386,0.9051,0.0282,0.0039,1.2156,0.5781,0.7863,1.3776,0.0471,3291.1639,1148.4814,0.8901,0.0188,0.2477,6.2,815,excellent
136270.13,0.0606,0.5644,0.1289,0.0106,2.0375,0.3366,0.5697,1.1727,0.1573,1122.3487,148.6004,0.5696,0.1025,0.415,5.8,719,average
