monthly_revenue,revenue_growth_rate,revenue_consistency,refund_rate,chargeback_rate,settlement_velocity_days,customer_repeat_rate,payment_diversity_score,peak_season_ratio,failed_payment_rate,avg_transaction_value,transaction_volume_monthly,dispute_resolution_rate,late_settlement_frequency,revenue_concentration_risk
2.5763643,-1.035981,4.6318073,0.019963766,-0.43069443,-2.085886,0.5278743,-5.2728477,0.35525805,-3.8000677,0.953895,0.3303384,-14.532664,12.504098,-0.15483421
0.6618787,0.37731615,-23.52974,0.8374653,8.7813425,-5.807544,-11.603251,-7.919785,-0.13310356,-4.2306075,-0.6632269,-0.06699589,-13.374653,-25.977465,-1.8815792
-1.0728225,-2.0833292,-41.37819,-4.6361575,-27.783358,-5.927396,-15.79997,-12.051681,-0.35825944,-11.277018,0.9337802,-0.8397285,-41.076233,-53.233467,-3.1729887
3.156748,7.504269,36.05786,4.327937,6.660985,2.0467515,13.460607,5.7082806,1.0065904,3.79316,0.3744517,-0.55067056,31.48801,19.15612,1.2675922
0.72926694,1.1211526,-28.555223,2.550055,0.7127385,2.3041584,-9.32039,-15.638554,0.054433145,-3.8140981,1.3707242,0.42713302,-21.632065,12.129837,-3.8832748
3.5841575,3.1335983,5.6413755,3.0748503,5.6391706,2.2705708,7.511205,0.0025695898,-0.32854825,0.7955424,-0.109331824,-0.17125979,16.896353,15.792808,0.7445743
3.6702945,1.0152555,14.924302,2.6725774,4.406934,2.3848326,7.7067127,3.2260056,0.19349574,3.1562266,-0.28427064,2.1506736,17.256866,18.09869,1.5400244
0.2837449,-1.9885764,4.903219,-1.6322666,-1.6315935,0.49793497,2.1360247,-1.3010478,-0.68348294,1.4261526,-0.2746529,1.2039919,-13.117529,12.921379,0.7447872
-0.34373704,-2.5079474,3.015853,-1.2168906,-1.3974494,1.0469583,1.3775616,-2.7153764,0.7039715,-4.4933686,1.3328253,0.92157984,-15.01585,13.096311,0.7439167
1.4786865,0.99927944,-3.4419076,0.53903073,3.988313,0.86154187,1.2200449,-5.674994,0.5832539,1.0772728,0.16354819,1.7029974,-19.121536,10.668755,-1.1541024
-0.19621521,-1.0201757,5.4203176,0.28325167,3.822258,-4.6264234,1.5415478,-4.0116935,0.39204258,1.0952473,0.18765037,0.64786166,-14.484556,12.711023,0.70624167
4.183534,-0.5839397,4.713102,2.1199543,5.569693,-0.5942336,1.2113031,3.9072542,-0.12224188,0.64626837,0.621554,-0.14766462,11.614398,16.803034,1.7644176
2.3277254,0.18191694,4.8171725,1.512866,0.9542435,-3.061467,-9.802958,-0.44761783,0.286501,2.502591,-0.023410654,-0.21505895,-8.815726,8.350382,0.7735737
1.5187045,-3.2639098,-23.403263,0.47333118,1.4890127,-1.4210373,-11.075578,-8.729004,-0.0022875562,-5.5899873,-0.6748105,-0.19129783,-21.29384,-25.34772,-2.6954503
0.08488287,-0.38596088,9.085123,0.52212924,-1.5833973,0.28613618,2.2855308,-1.5000106,1.2905726,1.4423491,-0.42864814,0.5473444,-13.108167,12.260894,0.87837875
0.10353403,-4.776742,-42.197403,-5.0373287,-26.55442,0.5791376,-15.272497,-9.799007,-0.63183063,-10.188025,0.7319666,-0.47223946,-38.671303,-52.748802,-2.3819363
-0.20291351,0.23214489,-2.9450707,-0.34262958,3.3888183,0.31104773,-0.2658556,-0.56888324,-0.5173936,0.98281765,0.996324,1.0712943,-13.74209,11.511909,1.159873
3.6733148,6.9689755,29.94916,3.3625884,6.2095027,1.59395,17.837936,4.9551353,0.123319454,3.723409,-0.40130472,-0.9079903,27.785828,18.268404,1.0223897
2.0577333,-0.89728206,-23.37443,1.0797255,5.801734,-1.0071886,-10.679234,-8.26603,0.9635046,-3.07413,-0.5218954,0.5991552,-6.468267,-27.073782,-2.0826497
1.4216536,-3.776072,-38.2232,-5.2622933,-21.294775,-4.469424,-15.254087,-10.455594,-0.6756978,-6.084848,0.18925612,-0.30354577,-20.523758,-48.772156,-4.6940556
2.3211362,-2.7871788,-1.0384582,0.19759507,3.7247844,0.03547711,2.1752985,-0.15225321,-0.6000727,1.0716748,-0.5605742,-0.25358975,-20.123938,11.705169,0.6943357
2.0120864,3.5450575,16.16225,-0.32789454,5.603759,0.20477954,0.38536927,0.94829965,-1.4486479,1.2493097,0.23446131,0.4701451,20.4465,14.968616,2.1851718
3.6010509,-0.8500773,3.6005056,3.4109097,5.8999696,2.9685411,7.1214004,-0.6481225,-0.01825613,1.4613497,0.27401412,-0.41748008,19.821577,15.960716,2.1142962
2.7094355,-2.317556,-4.122631,-2.146411,3.827014,0.56066084,0.18709186,-4.388243,0.007350843,2.7804027,0.54133296,0.9324709,-10.858381,11.461898,1.5227648
3.365076,-0.56711286,15.075086,3.5399897,4.702691,-1.5617536,6.191437,0.18279542,-0.27749678,1.9359393,-0.1954003,-0.12788354,20.371912,16.128273,2.0265362
4.053117,1.9337909,32.30151,2.99833,6.429506,1.5532134,13.3422365,4.3249316,0.88512546,4.0376925,1.0089722,-0.4522326,31.535122,19.840012,0.95445496
3.0252538,6.328306,28.33387,3.3821113,5.751714,1.7697747,15.804113,5.405279,0.82308954,3.3926241,-0.8028839,-0.48570612,30.256853,19.368237,1.0746957
-0.084028415,-1.4012169,-26.225267,-2.4106143,5.293481,-4.2742248,-12.221428,-10.813312,0.56194216,-4.895355,-0.25607195,0.60343045,-16.475975,-29.023949,-3.1216435
3.7790594,5.232685,32.72157,2.6614165,6.71389,1.7605513,14.627085,4.469345,-0.8449542,2.8304613,1.203825,-0.5118134,30.267527,19.339237,1.4499539
3.462367,6.3185873,30.93568,3.755237,5.904831,2.0164685,12.495798,5.6370826,0.85606647,3.101223,0.34033465,-0.24045815,29.118847,19.592978,1.1299373
3.360863,5.9931307,34.76487,2.9774103,6.5945535,2.5244966,15.557207,5.9665008,-0.07092265,4.1033893,-0.89992976,-0.2502073,34.54049,19.737083,1.8415136
5.527304,0.6352033,-15.300305,-0.034682192,2.001932,2.6008399,-1.2561945,-2.9744093,0.7835396,2.2555075,-0.6353477,0.16050407,-13.542835,11.217695,1.1867768
0.4014469,-0.1972867,-32.465504,1.3287675,6.730993,1.0559738,-9.550251,-4.485833,0.08785201,-4.609767,1.1367912,0.7011595,-10.827558,-30.589499,-2.0198216
3.1016223,5.1844034,9.540215,3.2542455,5.5960646,2.5929053,-1.238924,3.8349068,-0.45916882,2.6854095,-0.81737006,-1.1937656,19.29326,14.578994,1.635604
2.232197,-1.666504,9.074343,0.24921376,5.4187,-2.330055,1.501734,-4.5610795,-0.119575135,-4.59999,-0.6208641,0.45203197,-13.053464,11.259691,0.8217426
3.6512704,-0.4372618,24.62901,3.1944423,5.027737,-0.9235021,1.6883259,-1.6315206,-0.51193464,-3.105637,-0.20000304,1.3111142,24.60362,15.6088915,1.4039022
0.15112704,-0.7499098,-0.28212988,0.6195203,0.096415326,3.2509134,-0.9237778,-2.049989,1.2343719,1.4887828,-0.17193481,0.3249789,-24.331684,13.730151,0.8999945
3.257821,-1.3373675,3.8738344,1.1122298,5.32057,1.5422491,7.4489875,4.098991,-1.3495197,2.6392963,-0.5036223,1.6905178,18.877972,15.844316,2.4729757
2.0070045,-1.9969676,-27.053207,1.4756945,9.197536,-1.3490902,-10.670204,-7.977664,0.3038102,-5.757537,0.99932325,0.046961837,-13.335433,-26.287334,-2.1502385
1.6775404,-3.019252,-25.538883,1.0091302,1.0129329,-1.1968956,-11.545703,-8.692817,0.55542123,-3.1232011,1.1769089,0.80022126,-15.604567,-27.44672,-1.8428969
-0.20902446,-1.336094,-3.884806,-0.08568863,6.2746906,-3.464914,-1.8591278,-2.1788573,-0.057129115,-3.7889464,-0.16644104,0.10181929,-16.136625,11.886023,-0.21239002
2.3255084,-1.4685284,4.0766163,-0.3556935,0.47339076,3.4600308,1.2822049,-0.1887022,0.48367307,1.1394475,-0.29721805,1.0253019,-13.143423,12.561041,0.61823255
2.5119417,0.62823945,-1.1600025,-1.1264362,3.4420793,1.8525015,-2.0033915,-1.7961236,0.12843224,1.1615685,-0.46696272,0.5214509,-18.826273,10.129176,0.6236305
1.8163003,7.5274405,33.254063,3.2358685,4.3126783,2.3904052,13.382531,10.129342,-0.31119126,3.1814013,0.64856607,-0.62176996,31.839931,17.095978,1.45881
1.5237216,0.6622839,-0.981576,-0.9990514,-2.2042704,-0.14572445,-11.469903,-11.782117,0.087870516,-5.0043116,-0.07547859,0.46070352,-25.711842,-26.869226,-1.8800772
3.475067,-0.37006918,5.463713,0.86285406,2.6981099,0.16041261,1.6412736,3.9250057,-0.8140337,1.5263137,-0.34471464,0.69643235,19.811104,14.812778,2.3143
0.98909307,0.2181747,-1.1589085,0.28935304,2.9749367,3.664205,-1.899817,-0.53020114,-0.61749375,1.1207204,-0.34020966,0.020763585,-16.446823,10.008568,-0.5889762
7.275516,3.525427,3.405394,1.651555,3.602664,-0.52355087,1.6233433,-0.22900298,-1.514286,1.3807409,-0.5172327,1.1282247,-6.764063,-26.72565,-0.4484076
1.8442025,-2.1590316,-29.414774,-2.418999,7.5377226,-0.9447747,-11.476785,-6.4230404,0.15069506,-5.08054,1.1367769,0.56057453,-17.342354,-24.835285,-2.394588
2.9694755,6.741151,30.383495,3.5143275,6.0026145,3.8258116,13.147041,8.0487385,0.41058663,3.796706,-0.7814241,-0.80613166,31.204548,18.978771,2.0085547
4.906736,2.0540652,1.7303936,1.6960157,10.14933,-1.8261261,0.060353827,0.632035,0.96326363,1.5135521,-0.5122336,0.14162894,-3.6522875,-22.219446,0.35744062
0.48479602,-3.8871148,-26.641254,0.7718517,8.043924,1.0042822,-11.100679,-9.452625,-0.63392574,-5.3218436,-0.13510264,0.50469714,-15.013535,-25.838045,-2.9608202
